date,max_supply,total_supply,the_open_network_foundation,frozen,issued_supply,backers,the_locker,dns_locked,telegram,inactive_early_wallet,mining_smart_contracts,circulating_supply_first_principles,circulating_supply_api
2022-03-11,5056231095,5056231095,0,0,2970763280,0,0,0,0,0,2085467815,2970763280,2970763280
2022-03-12,5056299800,5056299800,0,0,2971088147,0,0,0,0,0,2085211653,2971088147,2971088147
2022-03-13,5056368693,5056368693,0,0,2971404408,0,0,0,0,0,2084964285,2971404408,2971404408
2022-03-14,5056438075,5056438075,0,0,2971723572,0,0,0,0,0,2084714503,2971723572,2971723572
2022-03-15,5056507609,5056507609,0,0,2972024657,0,0,0,0,0,2084482952,2972024657,2972024657
2022-03-16,5056576429,5056576429,0,0,2972335156,0,0,0,0,0,2084241273,2972335156,2972335156
2022-03-17,5056645278,5056645278,0,0,2972642096,0,0,0,0,0,2084003182,2972642096,2972642096
2022-03-18,5056713426,5056713426,0,0,2972964266,0,0,0,0,0,2083749159,2972964266,2972964266
2022-03-19,5056782514,5056782514,0,0,2973294551,0,0,0,0,0,2083487964,2973294551,2973294551
2022-03-20,5056852792,5056852792,0,0,2973619702,0,0,0,0,0,2083233090,2973619702,2973619702
2022-03-21,5056921708,5056921708,0,0,2973933002,0,0,0,0,0,2082988706,2973933002,2973933002
2022-03-22,5056989733,5056989733,0,0,2974251027,0,0,0,0,0,2082738706,2974251027,2974251027
2022-03-23,5057060313,5057060313,0,0,2974567177,0,0,0,0,0,2082493137,2974567177,2974567177
2022-03-24,5057129878,5057129878,0,0,2974891625,0,0,0,0,0,2082238253,2974891625,2974891625
2022-03-25,5057198697,5057198697,0,0,2975216141,0,0,0,0,0,2081982556,2975216141,2975216141
2022-03-26,5057268319,5057268319,0,0,2975536861,0,0,0,0,0,2081731458,2975536861,2975536861
2022-03-27,5057336760,5057336760,0,0,2975846659,0,0,0,0,0,2081490101,2975846659,2975846659
2022-03-28,5057405153,5057405153,0,0,2976150205,0,0,0,0,0,2081254948,2976150205,2976150205
2022-03-29,5057475262,5057475262,0,0,2976457586,0,0,0,0,0,2081017676,2976457586,2976457586
2022-03-30,5057543979,5057543979,0,0,2976772318,0,0,0,0,0,2080771661,2976772318,2976772318
2022-03-31,5057610825,5057610825,0,0,2977078024,0,0,0,0,0,2080532801,2977078024,2977078024
2022-04-01,5057678783,5057678783,0,0,2977387454,0,0,0,0,0,2080291329,2977387454,2977387454
2022-04-02,5057746635,5057746635,0,0,2977704592,0,0,0,0,0,2080042043,2977704592,2977704592
2022-04-03,5057813740,5057813740,0,0,2978023979,0,0,0,0,0,2079789761,2978023979,2978023979
2022-04-04,5057882920,5057882920,0,0,2978346155,0,0,0,0,0,2079536765,2978346155,2978346155
2022-04-05,5057951182,5057951182,0,0,2978662307,0,0,0,0,0,2079288874,2978662307,2978662307
2022-04-06,5058020087,5058020087,0,0,2979018876,0,0,0,0,0,2079001212,2979018876,2979018876
2022-04-07,5058089340,5058089340,0,0,2979355993,0,0,0,0,0,2078733347,2979355993,2979355993
2022-04-08,5058158086,5058158086,0,0,2979673017,0,0,0,0,0,2078485069,2979673017,2979673017
2022-04-09,5058225602,5058225602,0,0,3066685974,0,0,0,0,0,1991539627,3066685974,3066685974
2022-04-10,5058295558,5058295558,0,0,3303756205,0,0,0,0,0,1754539354,3303756205,3303756205
2022-04-11,5058364493,5058364493,0,0,3408238048,0,0,0,0,0,1650126445,3408238048,3408238048
2022-04-12,5058433876,5058433876,0,0,3450961641,0,0,0,0,0,1607472235,3450961641,3450961641
2022-04-13,5058503995,5058503995,0,0,3493799881,0,0,0,0,0,1564704114,3493799881,3493799881
