DATE,PUBLIC_DISTRIBUTION_DAILY,FLARE_LABS_DAILY,FLARE_VC_FUND_DAILY,FLARE_FOUNDATION_DAILY,FOUNDING_TEAM_DAILY,REST_TEAM_ADVISORS_DAILY,BACKERS_DAILY,BURNS_DAILY,TOTAL_UNLOCKS_DAILY,FOUNDATION_UNLOCKS_DAILY,CUMULATIVE_FOUNDATION_UNLOCKS,TEAM_UNLOCKS_DAILY,CUMULATIVE_TEAM_UNLOCKS,NET_SUPPLY_CHANGE,CUMULATIVE_INFLATION,CUMULATIVE_UNLOCKS,CUMULATIVE_BURNS
2023-06-25,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13124519448.299990,18565000.000000,9255905000.000008,58716687.900000,0,22380424448.299998,0.000000
2023-06-26,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13164671136.199990,18565000.000000,9274470000.000008,58716687.900000,0,22439141136.199998,0.000000
2023-06-27,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13204822824.099990,18565000.000000,9293035000.000008,58716687.900000,0,22497857824.099998,0.000000
2023-06-28,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13244974511.999990,18565000.000000,9311600000.000008,58716687.900000,0,22556574511.999998,0.000000
2023-06-29,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13285126199.899990,18565000.000000,9330165000.000008,58716687.900000,0,22615291199.899998,0.000000
2023-06-30,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13325277887.799990,18565000.000000,9348730000.000008,58716687.900000,0,22674007887.799998,0.000000
2023-07-01,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13365429575.699990,18565000.000000,9367295000.000008,58716687.900000,0,22732724575.699998,0.000000
2023-07-02,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13405581263.599990,18565000.000000,9385860000.000008,58716687.900000,0,22791441263.599998,0.000000
2023-07-03,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13445732951.499990,18565000.000000,9404425000.000008,58716687.900000,0,22850157951.499998,0.000000
2023-07-04,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13485884639.399990,18565000.000000,9422990000.000008,58716687.900000,0,22908874639.399998,0.000000
2023-07-05,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13526036327.299990,18565000.000000,9441555000.000008,58716687.900000,0,22967591327.299998,0.000000
2023-07-06,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13566188015.199990,18565000.000000,9460120000.000008,58716687.900000,0,23026308015.199998,0.000000
2023-07-07,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13606339703.099990,18565000.000000,9478685000.000008,58716687.900000,0,23085024703.099998,0.000000
2023-07-08,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13646491390.999990,18565000.000000,9497250000.000008,58716687.900000,0,23143741390.999998,0.000000
2023-07-09,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,13685347863.161280,17966129.032258,9515216129.032266,56822601.193548,0,23200563992.193546,0.000000
2023-07-10,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,13724204335.322570,17966129.032258,9533182258.064524,56822601.193548,0,23257386593.387094,0.000000
2023-07-11,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,13763060807.483860,17966129.032258,9551148387.096782,56822601.193548,0,23314209194.580642,0.000000
2023-07-12,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,13801917279.645150,17966129.032258,9569114516.129040,56822601.193548,0,23371031795.774190,0.000000
2023-07-13,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,13840773751.806440,17966129.032258,9587080645.161298,56822601.193548,0,23427854396.967738,0.000000
2023-07-14,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,13879630223.967730,17966129.032258,9605046774.193556,56822601.193548,0,23484676998.161286,0.000000
2023-07-15,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,13918486696.129020,17966129.032258,9623012903.225814,56822601.193548,0,23541499599.354834,0.000000
2023-07-16,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,13957343168.290310,17966129.032258,9640979032.258072,56822601.193548,0,23598322200.548382,0.000000
