date,premine_unlocks_native,circulating_supply_native
2022-07-21,"1,367,989.06","610,123,119.02"
2022-07-22,"1,367,989.06","611,491,108.07"
2022-07-23,"1,367,989.06","612,859,097.13"
2022-07-24,"1,367,989.06","614,227,086.18"
2022-07-25,"1,367,989.06","615,595,075.24"
2022-07-26,"1,367,989.06","616,963,064.30"
2022-07-27,"1,367,989.06","618,331,053.35"
2022-07-28,"1,367,989.06","619,699,042.41"
2022-07-29,"1,367,989.06","621,067,031.46"
2022-07-30,"1,367,989.06","622,435,020.52"
2022-07-31,"1,367,989.06","623,803,009.58"
2022-08-01,"1,367,989.06","625,170,998.63"
2022-08-02,"1,367,989.06","626,538,987.69"
2022-08-03,"1,367,989.06","627,906,976.74"
2022-08-04,"1,367,989.06","629,274,965.80"
2022-08-05,"1,367,989.06","630,642,954.86"
2022-08-06,"1,367,989.06","632,010,943.91"
2022-08-07,"1,367,989.06","633,378,932.97"
2022-08-08,"1,367,989.06","634,746,922.02"
2022-08-09,"1,367,989.06","636,114,911.08"
2022-08-10,"1,367,989.06","637,482,900.14"
2022-08-11,"1,367,989.06","638,850,889.19"
2022-08-12,"1,367,989.06","640,218,878.25"
2022-08-13,"1,367,989.06","641,586,867.31"
2022-08-14,"1,367,989.06","642,954,856.36"
2022-08-15,"1,367,989.06","644,322,845.42"
2022-08-16,"1,367,989.06","645,690,834.47"
2022-08-17,"1,367,989.06","647,058,823.53"
2022-08-18,"1,367,989.06","648,426,812.59"
2022-08-19,"1,367,989.06","649,794,801.64"
2022-08-20,"1,367,989.06","651,162,790.70"
2022-08-21,"1,367,989.06","652,530,779.75"
2022-08-22,"1,367,989.06","653,898,768.81"
2022-08-23,"1,367,989.06","655,266,757.87"
2022-08-24,"1,367,989.06","656,634,746.92"
2022-08-25,"1,367,989.06","658,002,735.98"
2022-08-26,"1,367,989.06","659,370,725.03"
2022-08-27,"1,367,989.06","660,738,714.09"
2022-08-28,"1,367,989.06","662,106,703.15"
2022-08-29,"1,367,989.06","663,474,692.20"
2022-08-30,"1,367,989.06","664,842,681.26"
2022-08-31,"1,367,989.06","666,210,670.31"
2022-09-01,"1,367,989.06","667,578,659.37"
2022-09-02,"1,367,989.06","668,946,648.43"
2022-09-03,"1,367,989.06","670,314,637.48"
2022-09-04,"1,367,989.06","671,682,626.54"
2022-09-05,"1,367,989.06","673,050,615.60"
2022-09-06,"1,367,989.06","674,418,604.65"
2022-09-07,"1,367,989.06","675,786,593.71"
2022-09-08,"1,367,989.06","677,154,582.76"
2022-09-09,"1,367,989.06","678,522,571.82"
2022-09-10,"1,367,989.06","679,890,560.88"
2022-09-11,"1,367,989.06","681,258,549.93"
2022-09-12,"1,367,989.06","682,626,538.99"
2022-09-13,"1,367,989.06","683,994,528.04"
2022-09-14,"1,367,989.06","685,362,517.10"
2022-09-15,"1,367,989.06","686,730,506.16"
2022-09-16,"1,367,989.06","688,098,495.21"
2022-09-17,"1,367,989.06","689,466,484.27"
2022-09-18,"1,367,989.06","690,834,473.32"
2022-09-19,"1,367,989.06","692,202,462.38"
